,Hydraulic_Pressure(bar),Spindle_Speed(RPM),Torque(Nm),Cutting(kN),Downtime
452,77.57,19348.0,24.67448832,2.63,Machine_Failure
453,68.97,19345.0,24.67831481,3.65,Machine_Failure
454,59.63,19311.0,24.7217648,2.59,Machine_Failure
455,61.73,19333.0,24.69363265,2.7,Machine_Failure
456,119.2628702,21419.0,22.28871563,2.95,No_Machine_Failure
457,56.91,19188.0,24.88023765,2.71,Machine_Failure
458,99.09,19265.0,24.78079419,2.61,Machine_Failure
459,112.7546781,21211.0,33.35511961,3.06,No_Machine_Failure
460,105.0901352,21057.0,22.67189058,2.97,No_Machine_Failure
461,109.3795002,21210.0,22.50834512,2.77,No_Machine_Failure
462,148.8822967,21107.0,22.61818354,3.1,No_Machine_Failure
463,78.96,19263.0,24.78336708,2.56,Machine_Failure
464,,15217.0,23.04174912,1.95,No_Machine_Failure
465,114.1453675,20695.0,23.06847065,2.89,No_Machine_Failure
466,88.64,0.0,29.00552889,2.26,Machine_Failure
467,110.7176597,20698.0,23.06512707,1.91,No_Machine_Failure
468,59.96,18527.0,25.7679063,2.66,Machine_Failure
469,129.1277004,20597.0,34.97300419,2.11,No_Machine_Failure
470,130.7049468,20589.0,31.62033518,1.88,No_Machine_Failure
471,112.4868133,20613.0,30.51400825,2.88,No_Machine_Failure
472,130.4351649,20572.0,32.37045571,1.86,No_Machine_Failure
473,125.7843388,20594.0,33.92336502,2.17,No_Machine_Failure
474,111.386512,20595.0,35.5812209,2.01,No_Machine_Failure
475,109.7058679,20584.0,33.92336502,2.88,No_Machine_Failure
476,137.6339947,20587.0,23.18948851,2.96,No_Machine_Failure
477,110.9528774,20575.0,23.20301337,3.0,No_Machine_Failure
478,134.54,21951.0,0.0,3.67,Machine_Failure
479,98.7,27957.0,28.78343181,3.55,Machine_Failure
480,76.74,16395.0,16.96410507,2.2,Machine_Failure
481,125.95,17919.0,29.14898034,3.55,Machine_Failure
482,98.7,16558.0,28.83210533,2.44,Machine_Failure
483,139.34,20504.0,29.20783114,2.49,Machine_Failure
484,71.04,21951.0,29.18818782,2.15,Machine_Failure
485,121.0226115,19197.0,21.12865678,1.87,No_Machine_Failure
486,112.4224642,22603.0,21.1211786,2.11,No_Machine_Failure
487,145.98,27333.0,29.115204,2.35,Machine_Failure
488,127.8264919,22393.0,21.31925155,2.02,No_Machine_Failure
489,137.4455053,19197.0,21.2065565,2.93,No_Machine_Failure
490,92.44,20801.0,29.13830566,3.59,Machine_Failure
491,134.4519637,22405.0,33.35511961,3.17,No_Machine_Failure
492,134.54,16389.0,29.12941607,2.17,Machine_Failure
493,141.14,16541.0,28.8617375,2.22,Machine_Failure
494,141.14,25528.0,29.15966284,3.58,Machine_Failure
495,118.9057732,22331.0,32.51929855,1.99,No_Machine_Failure
496,123.7131151,22394.0,21.31829954,3.23,No_Machine_Failure
497,63.76,23432.0,29.18283514,3.93,Machine_Failure
498,141.915553,22511.0,32.37045571,3.0,No_Machine_Failure
499,114.4014569,22383.0,35.58033366,2.02,No_Machine_Failure
500,142.36,26526.0,29.17570128,3.59,Machine_Failure
501,127.9797701,22364.0,35.5812209,1.85,No_Machine_Failure
502,136.9081305,22369.0,35.58033366,1.87,No_Machine_Failure
503,132.8734571,22380.0,33.92336502,1.95,No_Machine_Failure
504,80.27,27613.0,29.2507812,3.49,Machine_Failure
505,61.73,26605.0,29.213193,3.91,Machine_Failure
506,148.5053488,14266.0,35.5812209,3.11,No_Machine_Failure
507,142.0082012,16198.0,22.4606916,1.88,No_Machine_Failure
508,106.8922785,18436.0,31.62033518,1.95,No_Machine_Failure
509,128.8130869,19197.0,32.51929855,2.74,No_Machine_Failure
510,142.6360534,14152.0,34.97300419,3.11,No_Machine_Failure
511,114.4595853,21294.0,34.97300419,3.06,No_Machine_Failure
512,136.3214721,21355.0,34.97300419,2.75,No_Machine_Failure
513,145.8448023,21295.0,33.92336502,2.88,No_Machine_Failure
514,91.89,27957.0,24.59947442,3.55,Machine_Failure
515,60.06,21951.0,24.75252761,3.55,Machine_Failure
516,128.8130869,22126.0,21.57651632,3.18,No_Machine_Failure
517,94.93,25528.0,24.87505211,3.93,Machine_Failure
518,138.2282164,21294.0,31.62033518,3.06,No_Machine_Failure
519,67.73,17919.0,24.85950844,3.58,Machine_Failure
520,101.8212798,17726.0,33.92336502,,No_Machine_Failure
521,108.9688145,13272.0,22.43219622,1.85,No_Machine_Failure
522,94.12,19356.0,24.66429014,2.64,Machine_Failure
523,91.77,20504.0,24.75252761,3.67,Machine_Failure
524,82.45,26605.0,24.59440523,3.69,Machine_Failure
525,58.4,27613.0,24.61469451,3.67,Machine_Failure
526,140.8120063,21388.0,22.32102113,2.02,No_Machine_Failure
527,95.45,26526.0,24.75381105,3.61,Machine_Failure
528,82.36,23432.0,24.66938818,2.7,Machine_Failure
529,96.02,19418.0,24.58553919,3.67,Machine_Failure
530,67.73,19369.0,24.64773607,2.87,Machine_Failure
531,83.06,19371.0,24.64519127,3.67,Machine_Failure
532,96.81,19356.0,24.66429014,2.67,Machine_Failure
533,59.36,19355.0,24.66556445,2.64,Machine_Failure
534,76.84,19380.0,24.63374613,2.83,Machine_Failure
535,67.99,19362.0,24.65664704,2.67,Machine_Failure
536,98.71,19382.0,24.63120421,2.72,Machine_Failure
537,121.0567988,21071.0,33.35511961,2.02,No_Machine_Failure
538,67.02,19206.0,24.85691971,2.83,Machine_Failure
539,118.6941205,19197.0,22.69560257,2.11,No_Machine_Failure
540,94.27,19199.0,16.44955444,2.55,Machine_Failure
541,64.3,19201.0,15.90071615,2.76,Machine_Failure
542,121.02847,14152.0,34.97300419,2.86,No_Machine_Failure
543,115.1962448,21121.0,34.97300419,2.99,No_Machine_Failure
544,142.5502468,15217.0,32.37045571,2.94,No_Machine_Failure
545,144.0540113,21030.0,22.70099857,2.8,No_Machine_Failure
546,103.8815796,20698.0,35.5812209,2.88,No_Machine_Failure
547,157.7775077,20611.0,33.92336502,2.95,No_Machine_Failure
548,149.8179485,20602.0,30.51400825,2.87,No_Machine_Failure
549,72.94,18531.0,17.89931102,2.75,Machine_Failure
550,143.3169567,20567.0,34.97300419,2.92,No_Machine_Failure
551,128.7171237,20567.0,31.62033518,3.02,No_Machine_Failure
552,51.04,23432.0,25.75817417,3.49,Machine_Failure
553,98.82928898,20607.0,35.58033366,2.83,No_Machine_Failure
554,129.4596461,20564.0,32.37045571,2.76,No_Machine_Failure
555,160.3538284,14152.0,33.35511961,1.85,No_Machine_Failure
556,128.562007,19197.0,21.10717128,1.95,No_Machine_Failure
557,137.37,16942.0,28.17860937,2.33,Machine_Failure
558,94.78,16954.0,28.15866462,2.37,Machine_Failure
559,135.93,16988.0,28.10230751,2.33,Machine_Failure
560,88.11041871,15217.0,33.92336502,3.0,No_Machine_Failure
561,132.8324943,22639.0,21.08759221,3.1,No_Machine_Failure
562,72.3,16993.0,28.09403872,2.24,Machine_Failure
563,92.95,16996.0,28.08907978,2.43,Machine_Failure
564,96.48,16455.0,29.01257976,2.37,Machine_Failure
565,120.534968,15217.0,21.08666078,1.87,No_Machine_Failure
566,71.64,25528.0,28.97735964,3.58,Machine_Failure
567,83.1,17919.0,28.97735964,3.55,Machine_Failure
568,73.4,26526.0,28.91592974,3.59,Machine_Failure
569,82.14,23432.0,28.94573455,3.93,Machine_Failure
570,159.5445114,22663.0,21.06526056,1.95,No_Machine_Failure
571,52.75,27613.0,28.12051599,3.61,Machine_Failure
572,51.04,27613.0,28.86348247,3.49,Machine_Failure
573,108.7856459,22668.0,21.06061408,3.28,No_Machine_Failure
574,139.1327475,22603.0,21.1211786,3.0,No_Machine_Failure
575,146.3361505,22628.0,21.09784338,2.01,No_Machine_Failure
576,112.5104127,22605.0,21.11930989,1.91,No_Machine_Failure
577,120.9186181,22612.0,21.11277198,1.95,No_Machine_Failure
578,99.15558105,22672.0,21.05689838,3.21,No_Machine_Failure
579,118.0744096,22672.0,33.35511961,3.22,No_Machine_Failure
580,69.36,26526.0,29.0231625,3.91,Machine_Failure
581,121.2185149,22609.0,21.11557344,3.1,No_Machine_Failure
582,138.1609209,18436.0,21.10064088,1.99,No_Machine_Failure
583,57.76,27957.0,28.86871863,3.55,Machine_Failure
584,69.04,16952.0,28.16198679,2.4,Machine_Failure
585,150.9636706,22515.0,21.20373085,2.95,No_Machine_Failure
586,134.02,16959.0,28.15036264,2.26,Machine_Failure
587,92.68,17092.0,27.93131289,2.27,Machine_Failure
588,103.2037808,22653.0,31.62033518,2.02,No_Machine_Failure
589,71.04,26605.0,28.42186105,3.91,Machine_Failure
590,70.39,21951.0,28.16198679,3.67,Machine_Failure
591,85.16,16812.0,28.3965025,2.31,Machine_Failure
592,69.41,16405.0,29.10100579,2.39,Machine_Failure
593,91.38,26605.0,29.06203202,3.67,Machine_Failure
594,60.26,20504.0,28.39481354,2.32,Machine_Failure
595,66.56,20504.0,24.78465372,3.58,Machine_Failure
596,133.4785271,21615.0,22.08660652,1.95,No_Machine_Failure
597,84.6,26526.0,24.88802002,3.67,Machine_Failure
598,95.57,27613.0,24.89191303,3.55,Machine_Failure
599,66.51,26605.0,24.89191303,3.55,Machine_Failure
600,77.2,20504.0,24.90749726,3.69,Machine_Failure
601,110.8668418,21639.0,22.06211008,2.88,No_Machine_Failure
602,145.5640243,21617.0,22.08456308,2.78,No_Machine_Failure
603,50.14,19271.0,24.77307872,3.59,Machine_Failure
604,72.89,19272.0,24.77179328,3.49,Machine_Failure
605,91.16,19191.0,24.87634829,3.91,Machine_Failure
606,122.2437311,21644.0,22.05701349,1.86,No_Machine_Failure
607,87.26,21951.0,24.77565001,3.93,Machine_Failure
608,89.0,21951.0,24.76536806,3.67,Machine_Failure
609,53.43,23432.0,24.88283123,3.69,Machine_Failure
610,161.5682611,17726.0,22.33668647,3.0,No_Machine_Failure
611,86.9996921,21659.0,22.04173785,3.0,No_Machine_Failure
612,60.98,23432.0,24.90100146,2.5,Machine_Failure
613,57.82,19285.0,24.75509463,2.73,Machine_Failure
614,76.43,27957.0,24.90359937,2.53,Machine_Failure
615,75.36,19272.0,24.77179328,2.84,Machine_Failure
616,54.12,24999.0,24.90879683,2.61,Machine_Failure
617,155.0,25528.0,24.85433153,3.67,Machine_Failure
618,130.9995183,17726.0,30.51400825,1.99,No_Machine_Failure
619,121.064954,21625.0,22.07639306,2.01,No_Machine_Failure
620,130.6120934,21502.0,22.20267882,1.91,No_Machine_Failure
621,120.014911,21607.0,22.0947841,3.08,No_Machine_Failure
622,165.9249617,21612.0,22.0896724,3.03,No_Machine_Failure
623,120.4448252,21115.0,22.60961402,2.91,No_Machine_Failure
624,114.5721239,21110.0,22.61496921,2.87,No_Machine_Failure
625,74.15,21951.0,24.84527713,2.76,Machine_Failure
626,139.5804214,21127.0,22.5967719,2.86,No_Machine_Failure
627,93.05,21951.0,24.66811347,2.83,Machine_Failure
628,118.8568709,21119.0,22.60533169,2.87,No_Machine_Failure
629,121.758972,20694.0,23.06958539,2.77,No_Machine_Failure
630,67.71,20801.0,25.72624885,2.63,Machine_Failure
631,61.82,27957.0,,2.62,Machine_Failure
632,80.81,17919.0,25.73595687,2.4,Machine_Failure
633,92.79,25528.0,25.74706073,2.76,Machine_Failure
634,88.21,20504.0,25.71377787,2.68,Machine_Failure
635,50.7,23432.0,25.71239296,2.55,Machine_Failure
636,80.8,26526.0,25.71100819,3.67,Machine_Failure
637,65.83,27613.0,25.7082391,2.73,Machine_Failure
638,77.27,26605.0,25.74706073,2.55,Machine_Failure
639,118.4386486,20501.0,23.2867665,1.85,No_Machine_Failure
640,139.6956307,20536.0,23.2470783,2.02,No_Machine_Failure
641,99.15,17919.0,25.73040854,3.61,Machine_Failure
642,122.9205964,20505.0,23.28222385,2.11,No_Machine_Failure
643,71.01,18553.0,25.7317954,3.61,Machine_Failure
644,142.0098997,20548.0,23.23350204,1.99,No_Machine_Failure
645,132.4065888,20546.0,23.23576365,2.74,No_Machine_Failure
646,115.3273082,14266.0,23.23350204,1.86,No_Machine_Failure
647,126.7164019,20512.0,33.35511961,1.87,No_Machine_Failure
648,50.36,23990.0,28.18027271,3.67,Machine_Failure
649,82.09,23432.0,28.03135459,2.25,Machine_Failure
650,74.2,26526.0,28.0659612,2.58,Machine_Failure
651,116.2387801,24313.0,19.63566816,3.0,No_Machine_Failure
652,117.7217483,13272.0,33.92336502,3.18,No_Machine_Failure
653,113.5613194,16198.0,35.58033366,3.25,No_Machine_Failure
654,114.3768073,24307.0,19.64051508,3.37,No_Machine_Failure
655,56.97,17072.0,27.96403468,2.52,Machine_Failure
656,135.3424124,22591.0,32.37045571,3.03,No_Machine_Failure
657,135.0300804,24510.0,35.58033366,3.37,No_Machine_Failure
658,116.7664511,24278.0,30.51400825,3.29,No_Machine_Failure
659,99.97727415,24461.0,32.51929855,3.16,No_Machine_Failure
660,61.67,17073.0,27.96239677,2.57,Machine_Failure
661,88.11,17081.0,27.94930039,2.6,Machine_Failure
662,94.71,17067.0,27.9722271,2.41,Machine_Failure
663,174.2498658,22534.0,21.18585249,1.99,No_Machine_Failure
664,66.56,17061.0,27.98206436,2.42,Machine_Failure
665,91.96,17036.0,28.02312749,3.33,Machine_Failure
666,56.89,17011.0,28.06431133,2.42,Machine_Failure
667,53.53,17042.0,28.01326135,2.5,Machine_Failure
668,94.29,17030.0,28.03300059,2.45,Machine_Failure
669,68.18,16817.0,28.3880597,2.32,Machine_Failure
670,62.42,16815.0,28.39143622,2.38,Machine_Failure
671,155.0,16910.0,28.23193377,2.36,Machine_Failure
672,74.25,16910.0,28.23193377,2.29,Machine_Failure
673,82.28,17061.0,27.98206436,3.91,Machine_Failure
674,88.92,16874.0,28.29216546,3.49,Machine_Failure
675,97.87,17010.0,28.0659612,3.59,Machine_Failure
676,117.636062,17726.0,21.13520453,2.02,No_Machine_Failure
677,146.0763048,24280.0,33.35511961,3.46,No_Machine_Failure
678,162.230774,19197.0,32.51929855,2.02,No_Machine_Failure
679,118.4438448,14266.0,35.5812209,3.25,No_Machine_Failure
680,118.1917877,24298.0,19.64778994,3.25,No_Machine_Failure
681,128.1828944,13272.0,19.71106524,2.88,No_Machine_Failure
682,125.9564854,13272.0,30.51400825,2.74,No_Machine_Failure
683,108.9668424,14152.0,31.62033518,3.03,No_Machine_Failure
684,106.5615709,22552.0,32.37045571,2.96,No_Machine_Failure
685,139.5612256,22553.0,35.58033366,2.01,No_Machine_Failure
686,108.2243873,24455.0,19.52165201,3.15,No_Machine_Failure
687,142.7021809,24315.0,19.63405305,3.14,No_Machine_Failure
688,133.8136379,13272.0,33.92336502,3.02,No_Machine_Failure
689,119.7390962,16198.0,35.58033366,3.33,No_Machine_Failure
690,122.5069063,16198.0,21.17645493,2.88,No_Machine_Failure
691,119.3726645,22561.0,32.51929855,2.93,No_Machine_Failure
692,103.6104816,,,3.09,No_Machine_Failure
693,125.4427534,22525.0,21.19431743,1.88,No_Machine_Failure
694,77.59,17076.0,27.95748419,3.67,Machine_Failure
695,98.11458367,16198.0,19.60261148,2.74,No_Machine_Failure
696,112.4671362,13272.0,35.58033366,1.87,No_Machine_Failure
697,130.5669323,21592.0,34.97300419,1.91,No_Machine_Failure
698,71.46602,17726.0,22.15836621,2.92,No_Machine_Failure
699,122.1284337,16198.0,33.92336502,1.95,No_Machine_Failure
700,156.9710978,13272.0,21.99502419,2.88,No_Machine_Failure
701,75.64,20504.0,24.32993579,2.83,Machine_Failure
702,123.7878939,15217.0,32.51929855,1.99,No_Machine_Failure
703,57.26,19596.0,24.36221678,3.55,Machine_Failure
704,155.5153187,17726.0,30.51400825,3.06,No_Machine_Failure
705,113.2963355,21695.0,22.00516248,2.86,No_Machine_Failure
706,65.28,19621.0,24.33117578,3.69,Machine_Failure
707,108.4484153,17726.0,34.97300419,2.11,No_Machine_Failure
708,112.6495738,16198.0,22.0163254,2.87,No_Machine_Failure
709,129.7383251,21576.0,33.35511961,3.03,No_Machine_Failure
710,125.9207283,15217.0,22.01429494,2.86,No_Machine_Failure
711,58.93,19609.0,24.34606558,3.55,Machine_Failure
712,99.98029811,21528.0,33.92336502,2.17,No_Machine_Failure
713,73.91,26605.0,24.56024282,2.77,Machine_Failure
714,83.36,19621.0,24.33117578,3.58,Machine_Failure
715,125.95,27613.0,17.89931102,3.67,Machine_Failure
716,98.7,26526.0,16.96410507,3.61,Machine_Failure
717,141.14,26605.0,15.90071615,3.69,Machine_Failure
718,134.54,23432.0,15.1197393,2.67,Machine_Failure
719,134.02,25528.0,14.20288973,2.85,Machine_Failure
720,135.93,17919.0,14.10999444,2.7,Machine_Failure
721,137.37,27957.0,14.44705039,2.77,Machine_Failure
722,120.80024,21708.0,21.99198452,2.17,No_Machine_Failure
723,63.76,20504.0,16.44955444,3.67,Machine_Failure
724,131.3770704,21580.0,22.12242817,2.91,No_Machine_Failure
725,77.11,27613.0,24.8271881,2.75,Machine_Failure
726,57.03,19421.0,24.58174141,3.93,Machine_Failure
727,91.44124959,21699.0,34.97300419,3.11,No_Machine_Failure
728,99.38790197,21095.0,22.63105001,1.91,No_Machine_Failure
729,130.8841723,21078.0,22.64930259,2.02,No_Machine_Failure
730,144.3939753,21092.0,22.63426892,2.01,No_Machine_Failure
731,136.1122777,21078.0,22.64930259,3.0,No_Machine_Failure
732,64.25,21951.0,16.44955444,2.69,Machine_Failure
733,56.95,20504.0,15.90071615,2.77,Machine_Failure
734,55.28,26605.0,17.89931102,2.61,Machine_Failure
735,88.25,26526.0,15.1197393,2.83,Machine_Failure
736,53.26,27613.0,16.96410507,2.86,Machine_Failure
737,73.93,23432.0,14.20288973,2.45,Machine_Failure
738,89.4587468,19197.0,32.37045571,3.03,No_Machine_Failure
739,96.95,20801.0,16.44955444,3.33,Machine_Failure
740,90.42,25528.0,15.90071615,2.63,Machine_Failure
741,140.4390823,18436.0,35.5812209,1.85,No_Machine_Failure
742,160.0,17919.0,17.89931102,2.64,Machine_Failure
743,91.59,27957.0,16.96410507,2.72,Machine_Failure
744,90.4587468,20833.0,22.91566265,2.75,No_Machine_Failure
745,80.726488,20834.0,22.91456273,2.92,No_Machine_Failure
746,81.1382212,20557.0,23.22333025,2.81,No_Machine_Failure
747,78.23183481,17726.0,34.97300419,3.33,No_Machine_Failure
748,77.72,20504.0,14.20288973,2.55,Machine_Failure
749,54.11,26605.0,28.33246291,2.27,Machine_Failure
750,85.63,27613.0,28.27708346,2.24,Machine_Failure
751,82.9688079,15217.0,32.51929855,3.23,No_Machine_Failure
752,80.726488,14152.0,30.51400825,3.19,No_Machine_Failure
753,134.9523779,16198.0,33.92336502,3.36,No_Machine_Failure
754,71.99,26526.0,28.37456166,2.35,Machine_Failure
755,88.27913423,24094.0,19.8141446,3.36,No_Machine_Failure
756,141.601172,23945.0,35.5812209,2.02,No_Machine_Failure
757,131.6756367,24151.0,32.37045571,3.17,No_Machine_Failure
758,134.4210623,24074.0,33.35511961,3.4,No_Machine_Failure
759,169.3223779,24092.0,19.81578947,3.36,No_Machine_Failure
760,139.9190536,24097.0,19.8116778,3.13,No_Machine_Failure
761,81.1382212,14266.0,31.62033518,3.41,No_Machine_Failure
762,78.96,21951.0,15.1197393,2.39,Machine_Failure
763,74.01,16875.0,28.29048889,3.59,Machine_Failure
764,61.73,16830.0,16.96410507,3.58,Machine_Failure
765,79.41,26526.0,28.27875844,2.28,Machine_Failure
766,50.71,23432.0,28.27875844,2.25,Machine_Failure
767,50.23,16910.0,28.23193377,3.91,Machine_Failure
768,58.28,16893.0,28.26034452,2.5,Machine_Failure
769,62.84,16828.0,28.36950321,3.33,Machine_Failure
770,142.36,21951.0,14.20288973,3.55,Machine_Failure
771,80.27,16867.0,15.1197393,3.55,Machine_Failure
772,61.36,16899.0,28.25031067,2.56,Machine_Failure
773,67.25,16887.0,28.2703855,2.32,Machine_Failure
774,54.81,16899.0,28.25031067,2.3,Machine_Failure
775,82.4,16883.0,28.27708346,2.37,Machine_Failure
776,139.34,19684.0,17.89931102,3.93,Machine_Failure
777,50.66,19668.0,24.27303234,3.49,Machine_Failure
778,66.19,19659.0,24.28414467,3.67,Machine_Failure
779,91.65,19657.0,24.28661546,3.67,Machine_Failure
780,60.63,19648.0,24.29774023,3.69,Machine_Failure
781,66.65,19664.0,24.27796989,3.58,Machine_Failure
782,54.29,19680.0,24.25823171,3.93,Machine_Failure
783,69.76,19578.0,24.38461538,3.61,Machine_Failure
784,63.27,19647.0,24.29897694,3.55,Machine_Failure
785,82.9688079,15217.0,20.21176969,3.11,No_Machine_Failure
786,80.726488,18436.0,32.37045571,3.02,No_Machine_Failure
787,85.13833371,17726.0,20.10706313,3.19,No_Machine_Failure
788,120.057928,16198.0,22.13781591,2.91,No_Machine_Failure
789,132.1613703,13272.0,21.9889457,2.79,No_Machine_Failure
790,81.1382212,14266.0,20.18357079,3.12,No_Machine_Failure
791,80.726488,14152.0,20.0732456,3.15,No_Machine_Failure
792,90.4587468,13272.0,20.6408405,3.19,No_Machine_Failure
793,89.4587468,19197.0,22.13576297,1.95,No_Machine_Failure
794,88.27913423,18436.0,20.05132513,1.99,No_Machine_Failure
795,174.7032604,17726.0,20.02777195,1.88,No_Machine_Failure
796,141.3681747,14152.0,20.25980309,3.07,No_Machine_Failure
797,102.6489772,18436.0,33.35511961,3.04,No_Machine_Failure
798,90.4587468,17726.0,35.5812209,3.31,No_Machine_Failure
799,146.4728798,19197.0,20.21690523,3.13,No_Machine_Failure
800,82.85,19647.0,24.29897694,3.55,Machine_Failure
801,89.4587468,17726.0,20.22804118,1.87,No_Machine_Failure
802,88.27913423,16198.0,20.282182,1.86,No_Machine_Failure
803,81.1382212,20616.0,35.58033366,2.68,No_Machine_Failure
804,87.05637981,16198.0,23.22333025,2.88,No_Machine_Failure
805,71.04,19412.0,15.90071615,3.59,Machine_Failure
806,156.152955,14266.0,23.22671986,2.11,No_Machine_Failure
807,125.2872379,20536.0,31.62033518,2.67,No_Machine_Failure
808,107.0881332,15217.0,34.97300419,2.02,No_Machine_Failure
809,145.98,19288.0,16.44955444,3.49,Machine_Failure
810,131.7398164,14152.0,23.22898015,2.17,No_Machine_Failure
811,82.9688079,20547.0,30.51400825,2.72,No_Machine_Failure
812,59.83,19328.0,24.7000207,3.91,Machine_Failure
813,137.7635846,15217.0,23.23011046,1.85,No_Machine_Failure
814,55.21,27957.0,26.34378104,2.57,Machine_Failure
815,127.8057039,14266.0,33.92336502,2.82,No_Machine_Failure
816,123.1405958,18436.0,35.58033366,2.01,No_Machine_Failure
817,56.58,17919.0,26.34668874,2.39,Machine_Failure
818,63.78,25528.0,26.33215665,2.6,Machine_Failure
819,121.7793117,17726.0,32.37045571,1.91,No_Machine_Failure
820,80.13,18128.0,15.1197393,2.61,Machine_Failure
821,126.0609494,14152.0,32.51929855,3.0,No_Machine_Failure
822,65.59,18165.0,26.28142031,2.74,Machine_Failure
823,67.71,18127.0,14.20288973,2.44,Machine_Failure
824,56.11,18122.0,16.96410507,2.58,Machine_Failure
825,55.49,17919.0,31.53874612,2.17,Machine_Failure
826,78.72,14881.0,16.96410507,3.61,Machine_Failure
827,89.7,27613.0,32.10288481,3.58,Machine_Failure
828,91.26,21951.0,22.97599273,2.03,Machine_Failure
829,73.28,26605.0,29.26153846,3.93,Machine_Failure
830,81.24,20504.0,28.23527324,3.59,Machine_Failure
831,61.72,21951.0,28.39988102,3.49,Machine_Failure
832,88.06,27957.0,28.24362539,3.91,Machine_Failure
833,157.4832617,,25.62544283,1.86,No_Machine_Failure
834,153.9194595,27882.0,17.1222294,1.85,No_Machine_Failure
835,53.26,23432.0,31.79712269,2.27,Machine_Failure
836,165.0,26526.0,31.69158258,2.34,Machine_Failure
837,95.33,27613.0,31.94392774,2.19,Machine_Failure
838,97.07,26605.0,32.03825247,2.27,Machine_Failure
839,91.88,20504.0,21.72738752,2.18,Machine_Failure
840,82.9688079,25121.0,19.00410016,3.0,No_Machine_Failure
841,146.866879,19197.0,30.51400825,3.62,No_Machine_Failure
842,123.7846834,26289.0,18.15976264,1.87,No_Machine_Failure
843,115.9529918,,25.6681542,2.11,No_Machine_Failure
844,97.4,20801.0,29.26871436,2.19,Machine_Failure
845,124.4700379,24616.0,19.3939714,2.88,No_Machine_Failure
846,82.9688079,25468.0,18.74517041,3.42,No_Machine_Failure
847,126.6215492,18436.0,35.58033366,3.72,No_Machine_Failure
848,125.2743152,17726.0,32.37045571,3.35,No_Machine_Failure
849,129.4156132,25642.0,34.97300419,3.51,No_Machine_Failure
850,144.1353347,25576.0,33.92336502,3.28,No_Machine_Failure
851,140.9168427,15217.0,18.90176981,1.87,No_Machine_Failure
852,141.7645114,15217.0,32.37045571,1.85,No_Machine_Failure
853,112.3419945,25156.0,18.97765941,2.01,No_Machine_Failure
854,153.7930685,25312.0,18.86069848,3.36,No_Machine_Failure
855,131.5009636,23685.0,20.15630146,3.18,No_Machine_Failure
856,66.83,20801.0,24.49848617,3.69,Machine_Failure
857,137.9152428,23742.0,20.10791003,1.88,No_Machine_Failure
858,90.4587468,17726.0,20.62835415,1.89,No_Machine_Failure
859,94.08675364,19197.0,33.92336502,2.88,No_Machine_Failure
860,150.5135131,14152.0,35.5812209,1.99,No_Machine_Failure
861,109.4167646,14266.0,32.37045571,1.95,No_Machine_Failure
862,60.54,23432.0,24.38959845,3.55,Machine_Failure
863,93.14,19451.0,17.89931102,3.67,Machine_Failure
864,54.35,19551.0,15.90071615,3.69,Machine_Failure
865,74.25,19549.0,16.44955444,3.67,Machine_Failure
866,92.26,17919.0,24.472114,3.61,Machine_Failure
867,80.15,26526.0,24.53752056,3.55,Machine_Failure
868,99.56,25528.0,24.50980593,2.65,Machine_Failure
869,83.82,23432.0,24.50854767,2.58,Machine_Failure
870,50.23,26526.0,24.41829062,2.53,Machine_Failure
871,120.1791134,23395.0,32.51929855,3.06,No_Machine_Failure
872,62.36,25528.0,24.54887643,3.67,Machine_Failure
873,138.8118502,16198.0,30.51400825,3.21,No_Machine_Failure
874,81.54427819,23430.0,33.35511961,3.07,No_Machine_Failure
875,88.27913423,23412.0,20.39133778,2.02,No_Machine_Failure
876,125.9274893,23669.0,20.16992691,3.38,No_Machine_Failure
877,70.17,19475.0,24.51358151,2.89,Machine_Failure
878,114.4326074,23199.0,20.57855942,3.0,No_Machine_Failure
879,123.1328332,23275.0,55.5524,3.29,No_Machine_Failure
880,128.4895666,14152.0,35.5812209,2.02,No_Machine_Failure
881,149.6094601,17726.0,31.62033518,1.86,No_Machine_Failure
882,109.1439268,16198.0,30.51400825,1.85,No_Machine_Failure
883,103.3420752,15217.0,35.58033366,2.11,No_Machine_Failure
884,,14266.0,32.37045571,2.17,No_Machine_Failure
885,73.31,27957.0,24.68341864,2.85,Machine_Failure
886,62.13,21951.0,24.69107836,2.74,Machine_Failure
887,82.9688079,13272.0,34.97300419,3.0,No_Machine_Failure
888,93.04,20504.0,25.86563363,2.44,Machine_Failure
889,80.726488,18436.0,23.04619841,1.91,No_Machine_Failure
890,81.1382212,19197.0,33.92336502,2.01,No_Machine_Failure
891,112.3072238,20713.0,23.0484237,2.99,No_Machine_Failure
892,89.4587468,20707.0,23.05510214,1.95,No_Machine_Failure
893,71.99,26605.0,25.83064603,2.64,Machine_Failure
894,52.35,26605.0,26.32925215,2.66,Machine_Failure
895,129.0163224,21111.0,22.61389797,3.04,No_Machine_Failure
896,81.1382212,14152.0,32.51929855,2.02,No_Machine_Failure
897,86.79,18131.0,26.33070432,2.5,Machine_Failure
898,94.06,26526.0,26.32925215,2.49,Machine_Failure
899,82.9688079,14266.0,33.92336502,2.17,No_Machine_Failure
900,72.3,23432.0,26.31473928,2.43,Machine_Failure
901,64.46,18131.0,26.33070432,2.43,Machine_Failure
902,134.6395624,15217.0,34.97300419,2.11,No_Machine_Failure
